abandon,[ə'bændən],v.,放弃；放纵,[abandon](http://www.wordcyclopedia.com/english?abandon)
abash,[ə'bæʃ],v.,使害羞，使尴尬,[abash](http://www.wordcyclopedia.com/english?abash)
abate,[ə'beit],v.,减轻，减少,[abate](http://www.wordcyclopedia.com/english?abate)
abbreviate,[ə'bri:vieit],v.,缩短；缩写,[abbreviate](http://www.wordcyclopedia.com/english?abbreviate)
abdicate,['æbdikeit],v.,退位，辞职，放弃,[abdicate](http://www.wordcyclopedia.com/english?abdicate)
aberrant,[æ'berənt],a.,越轨的；异常的,[aberrant](http://www.wordcyclopedia.com/english?aberrant)
aberration,[ˌæbə'reiʃən],n.,离开正路，脱离常轨；变形,[aberration](http://www.wordcyclopedia.com/english?aberration)
abet,[ə'bet],v.,教唆，鼓励，帮助,[abet](http://www.wordcyclopedia.com/english?abet)
abeyance,[ə'beiəns],n.,中止，搁置,[abeyance](http://www.wordcyclopedia.com/english?abeyance)
abhor,[əb'hɔ:],v.,憎恨，嫌恶,[abhor](http://www.wordcyclopedia.com/english?abhor)
abhorrent,[əb'hɔrənt],a.,可恨的，讨厌的,[abhorrent](http://www.wordcyclopedia.com/english?abhorrent)
abide,[ə'baid],v.,容忍，忍受,[abide](http://www.wordcyclopedia.com/english?abide)
abject,['æbdʒekt],a.,极可怜的;卑下的,[abject](http://www.wordcyclopedia.com/english?abject)
abjure,[əb'dʒuə],v.,发誓放弃,[abjure](http://www.wordcyclopedia.com/english?abjure)
ablution,[ə'blu:ʃən],n.,(宗教的)净礼，沐浴,[ablution](http://www.wordcyclopedia.com/english?ablution)
abnegate,['æbniɡeit],v.,否认，放弃,[abnegate](http://www.wordcyclopedia.com/english?abnegate)
abolish,[ə'bɔliʃ],v.,废止，废除(法律、制度、习俗等),[abolish](http://www.wordcyclopedia.com/english?abolish)
abolition,[æbə'liʃən],n.,废除，革除,[abolition](http://www.wordcyclopedia.com/english?abolition)
abominate,[ə'bɔmineit],v.,痛恨；厌恶,[abominate](http://www.wordcyclopedia.com/english?abominate)
aboveboard,[ə'bʌvˌbɔ:d],a.,光明正大的(地),[aboveboard](http://www.wordcyclopedia.com/english?aboveboard)
abrade,[ə'breid],v.,磨损，磨小,[abrade](http://www.wordcyclopedia.com/english?abrade)
abrasion,[ə'breiʒən],n.,表面磨损,[abrasion](http://www.wordcyclopedia.com/english?abrasion)
abrasive,[ə'breisiv],a.,磨损的；生硬粗暴的,[abrasive](http://www.wordcyclopedia.com/english?abrasive)
abreast,[ə'brest],adv.,并列，并排,[abreast](http://www.wordcyclopedia.com/english?abreast)
abridge,[ə'bridʒ],v.,删减；缩短,[abridge](http://www.wordcyclopedia.com/english?abridge)
abrogate,['æbrəuɡeit],v.,废止，废除,[abrogate](http://www.wordcyclopedia.com/english?abrogate)
abscission,[æb'siʒən],n.,[医]切除，截去；[植]脱离,[abscission](http://www.wordcyclopedia.com/english?abscission)
abscond,[əb'skɔnd],v.,潜逃，逃亡,[abscond](http://www.wordcyclopedia.com/english?abscond)
absenteeism,[æbsən'ti:iz(ə)m],n.,旷课，旷工,[absenteeism](http://www.wordcyclopedia.com/english?absenteeism)
absolute,['æbsəlu:t],a.,绝对的，完全的; 无(条件)限制的,[absolute](http://www.wordcyclopedia.com/english?absolute)
absolve,[əb'zɔlv],v.,赦免，免除,[absolve](http://www.wordcyclopedia.com/english?absolve)
absorb,[əb'sɔ:b],v.,吸收；同化；吸引„的注意,[absorb](http://www.wordcyclopedia.com/english?absorb)
abstain,[əb'stein],v.,禁绝，放弃,[abstain](http://www.wordcyclopedia.com/english?abstain)
abstemious,[æb'sti:mjəs],a.,有节制的，节俭的(eating & drinking),[abstemious](http://www.wordcyclopedia.com/english?abstemious)
abstention,[æb'stenʃən],n.,节制,[abstention](http://www.wordcyclopedia.com/english?abstention)
abstentious,[əb'stenʃəs],a.,节制的,[abstentious](http://www.wordcyclopedia.com/english?abstentious)
abstract,['æbstrækt],n.,抽象的,[abstract](http://www.wordcyclopedia.com/english?abstract)
abstruse,[æb'stru:s],a.,难懂的，深奥的,[abstruse](http://www.wordcyclopedia.com/english?abstruse)
absurd,[əb'sə:d],a.,荒谬的，可笑的,[absurd](http://www.wordcyclopedia.com/english?absurd)
abundance,[ə'bʌndəns],n.,充裕，多量,[abundance](http://www.wordcyclopedia.com/english?abundance)
abundant,[ə'bʌndənt],a.,丰富的，盛产的,[abundant](http://www.wordcyclopedia.com/english?abundant)
abuse,[ə'bju:z],v.,辱骂; 滥用,[abuse](http://www.wordcyclopedia.com/english?abuse)
abusive,[ə'bju:siv],a.,漫骂的；毁谤的；虐待的,[abusive](http://www.wordcyclopedia.com/english?abusive)
abut,[ə'bʌt],v.,接界，毗连,[abut](http://www.wordcyclopedia.com/english?abut)
